Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Ore,2.185,Electricity,95.12,Rail,734.7,Diesel,1.691,0.085,0.051,0.034,0.022,0.011,1.86,21.59,45.58,Recycling,34.08
End-of-Life,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,3.686,Electricity,3.04,Rail,970.2,Electric,0.029,0.001,0.001,0.001,0.037,0.018,0.032,85.43,63.05,Recycling,65.6
Raw Material Extraction,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Copper Scrap,1.869,Coal,52.95,Ship,437.6,Diesel,1.145,0.057,0.034,0.023,0.019,0.009,1.26,64.76,31.44,Recycling,41.24
Manufacturing,Emerging,2015-2019,North America,1 kg Copper Wire,Copper Ore,2.149,Electricity,46.15,Ship,787.3,Diesel,0.929,0.046,0.028,0.019,0.021,0.011,1.022,12.88,29.11,Recycling,20.0
Use,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Scrap,3.234,Electricity,17.88,Rail,74.4,Heavy Fuel Oil,0.168,0.008,0.005,0.003,0.032,0.016,0.185,89.47,45.82,Recycling,59.89
End-of-Life,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.481,Coal,13.08,Rail,500.2,Heavy Fuel Oil,0.142,0.007,0.004,0.003,0.025,0.012,0.156,67.79,44.18,Recycling,41.77
End-of-Life,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Copper Ore,2.96,Natural Gas,19.3,Truck,969.9,Diesel,0.394,0.02,0.012,0.008,0.03,0.015,0.434,88.82,19.82,Recycling,44.42
Raw Material Extraction,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.721,Electricity,83.05,Ship,363.2,Heavy Fuel Oil,0.859,0.043,0.026,0.017,0.017,0.009,0.945,62.37,74.86,Recycling,59.2
Manufacturing,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,0.835,Coal,98.7,Rail,774.5,Diesel,2.089,0.104,0.063,0.042,0.008,0.004,2.298,24.44,57.89,Landfill,39.15
Use,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Scrap,0.833,Electricity,36.49,Truck,124.7,Diesel,0.754,0.038,0.023,0.015,0.008,0.004,0.829,89.76,62.81,Recycling,69.07
