Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Ore,2.185,Electricity,95.12,Rail,734.7,Diesel,2.993,0.78,0.78,0.29,0.866,0.601,14.307,2.06,96.99,Recycling,83.24
End-of-Life,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,1.456,Electricity,19.0,Rail,191.6,Electric,1.521,2.624,2.16,1.456,0.612,0.139,6.197,36.64,45.61,Recycling,78.52
End-of-Life,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,1.399,Coal,51.91,Ship,596.5,Diesel,0.232,3.038,0.853,0.325,0.949,0.966,16.264,30.46,9.77,Landfill,68.42
Use,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.481,Electricity,13.08,Truck,500.2,Heavy Fuel Oil,0.172,4.547,1.294,3.313,0.312,0.52,11.161,18.49,96.96,Recycling,77.51
Transport,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,4.728,Coal,89.59,Truck,601.9,Heavy Fuel Oil,4.609,0.442,0.98,0.226,0.325,0.389,5.791,82.87,35.68,Recycling,28.09
End-of-Life,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,2.942,Coal,14.95,Truck,804.2,Diesel,0.373,4.934,3.861,0.994,0.006,0.815,14.284,72.9,77.13,Landfill,7.4
Transport,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,2.113,Natural Gas,12.47,Rail,864.5,Heavy Fuel Oil,3.116,1.654,0.318,1.555,0.325,0.73,12.932,88.72,47.22,Landfill,11.96
Transport,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,3.71,Coal,76.32,Rail,565.7,Diesel,3.855,2.469,2.614,2.138,0.025,0.108,1.113,63.64,31.44,Landfill,50.86
Manufacturing,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Ore,4.584,Coal,25.68,Ship,416.3,Diesel,3.778,1.144,0.385,1.449,0.161,0.93,16.258,63.34,87.15,Landfill,80.37
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Ore,1.34,Coal,89.36,Rail,543.9,Heavy Fuel Oil,4.037,4.48,1.59,0.55,0.228,0.427,16.451,86.07,0.7,Landfill,51.07
Use,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,2.378,Electricity,22.99,Truck,128.7,Electric,1.688,4.715,1.616,2.594,0.703,0.364,19.45,96.24,25.18,Incineration,49.72
End-of-Life,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Ore,1.854,Electricity,29.2,Rail,46.5,Heavy Fuel Oil,3.048,2.513,0.257,1.393,0.908,0.24,3.325,48.95,98.57,Recycling,24.21
Raw Material Extraction,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.525,Coal,76.4,Truck,245.3,Heavy Fuel Oil,3.641,1.839,3.162,3.168,0.536,0.09,16.788,32.08,18.65,Reuse,4.08
End-of-Life,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,3.159,Coal,68.08,Rail,26.4,Diesel,2.56,1.132,3.226,0.872,0.691,0.387,18.766,13.75,34.11,Incineration,11.35
Transport,Conventional,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,4.661,Electricity,87.86,Rail,265.4,Electric,3.3,4.086,2.776,2.648,0.242,0.093,17.996,90.04,63.31,Incineration,33.9
End-of-Life,Conventional,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.071,Coal,72.87,Rail,898.1,Electric,4.435,3.899,3.21,0.421,0.162,0.899,12.325,0.92,10.15,Landfill,66.35
Manufacturing,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,0.523,Natural Gas,16.92,Truck,553.2,Diesel,3.459,3.26,1.121,3.561,0.237,0.325,15.057,64.96,84.92,Incineration,65.76
Transport,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,3.057,Electricity,10.27,Rail,374.0,Heavy Fuel Oil,1.326,1.22,4.865,1.965,0.892,0.631,15.999,50.26,57.69,Recycling,49.25
End-of-Life,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Copper Ore,1.379,Natural Gas,72.52,Rail,288.0,Electric,0.122,3.227,0.886,4.702,0.954,0.915,7.718,1.55,92.83,Reuse,42.82
Manufacturing,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.85,Natural Gas,96.4,Rail,854.5,Electric,1.472,1.925,4.256,1.585,0.169,0.557,18.755,69.6,57.01,Incineration,9.72
Use,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,3.268,Electricity,99.02,Ship,148.7,Diesel,2.592,4.387,3.704,3.485,0.702,0.359,6.225,80.94,81.01,Landfill,86.71
End-of-Life,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.61,Electricity,51.62,Truck,506.5,Diesel,3.991,3.25,3.51,3.979,0.89,0.338,7.824,9.4,57.83,Incineration,3.59
Raw Material Extraction,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,2.595,Electricity,54.72,Rail,293.7,Diesel,2.954,0.153,0.187,4.113,0.36,0.127,10.684,77.0,21.58,Reuse,62.29
Manufacturing,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,0.884,Coal,6.12,Ship,536.0,Heavy Fuel Oil,2.703,3.187,3.63,4.879,0.516,0.323,16.006,27.08,43.9,Reuse,7.85
Use,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,0.614,Electricity,96.3,Ship,837.6,Electric,3.48,2.045,0.866,0.782,0.25,0.549,14.435,66.02,27.99,Incineration,95.49
Raw Material Extraction,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.821,Electricity,55.88,Ship,615.6,Diesel,2.098,1.239,1.78,3.789,0.014,0.116,1.397,4.07,85.55,Incineration,70.37
Use,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,2.634,Electricity,10.69,Rail,496.7,Electric,2.367,0.866,2.169,1.993,0.616,0.635,1.383,37.46,62.59,Recycling,50.31
Raw Material Extraction,Conventional,2020-2025,South America,1 kg Copper Wire,Copper Scrap,4.354,Electricity,66.21,Ship,171.3,Diesel,0.353,3.212,0.133,2.929,0.94,0.575,8.069,64.33,45.83,Landfill,54.56
Use,Conventional,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,4.737,Natural Gas,39.22,Rail,961.6,Electric,4.527,0.979,0.347,0.504,0.018,0.094,13.819,7.12,31.9,Reuse,84.49
Manufacturing,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,0.605,Coal,81.63,Ship,289.0,Diesel,0.591,3.484,3.145,4.387,0.735,0.803,6.0,17.74,75.06,Recycling,80.68
End-of-Life,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Ore,4.957,Electricity,41.85,Truck,378.3,Electric,3.882,1.704,4.654,4.292,0.429,0.751,15.214,10.31,90.26,Recycling,50.53
Manufacturing,Advanced,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.219,Coal,32.68,Truck,896.6,Heavy Fuel Oil,1.946,0.054,4.527,0.456,0.319,0.95,19.037,57.34,63.18,Incineration,44.84
Transport,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,1.819,Natural Gas,33.54,Truck,675.8,Electric,3.762,3.958,3.948,0.456,0.494,0.058,11.216,44.15,88.77,Incineration,35.09
Use,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,1.027,Electricity,15.16,Rail,763.9,Diesel,3.091,0.506,0.421,3.505,0.073,0.822,14.272,8.13,8.48,Incineration,98.66
Manufacturing,Advanced,2020-2025,Asia,1 kg Copper Wire,Aluminium Scrap,2.184,Electricity,37.69,Ship,814.7,Electric,4.736,4.93,3.767,1.881,0.084,0.777,11.389,42.42,90.64,Incineration,11.12
End-of-Life,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.717,Coal,2.12,Truck,474.0,Diesel,0.282,0.594,0.588,3.246,0.746,0.583,19.262,37.49,28.57,Incineration,86.86
Raw Material Extraction,Conventional,2010-2014,Asia,1 kg Copper Wire,Aluminium Scrap,1.506,Coal,96.36,Truck,22.0,Electric,4.849,0.216,4.456,2.639,0.993,0.074,11.3,96.93,52.31,Incineration,62.94
Manufacturing,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Copper Scrap,3.631,Natural Gas,46.0,Truck,631.3,Diesel,2.922,4.506,0.227,1.405,0.95,0.89,9.385,62.01,27.74,Reuse,18.81
